ID,name,price,category,availability,discount,ratings,breadcrumbs,location,lat,long,guests,pets_allowed,house_rules,details,is_supperhost,host_number_of_reviews,host_rating,hosts_year,host_response_rate,is_guest_favorite
26,Villa in Denpasar Utara ,null,Stays,TRUE,null,4.92,"Denpasar Utara, Bali, Indonesia","Denpasar Utara, Bali, Indonesia",-8.6377,115.2258,3,FALSE,"[""Check-in: 2:00 PM - 10:00 PM"",""Checkout before 11:00 AM"",""3 guests maximum""]","[""3 guests"",""1 bedroom"",""1 bed"",""1 private bath""]",TRUE,3329,4.7,9,100,FALSE
27,Rental unit in Kecamatan Kuta Utara ,null,Stays,TRUE,null,4.92,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.64642,115.13141,2,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 11:00 AM"",""2 guests maximum""]","[""2 guests"",""Studio"",""1 bed"",""1 bath""]",TRUE,139,4.67,6,100,FALSE
28,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,4.8,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6515,115.1496,2,TRUE,"[""Check-in after 2:00 PM"",""Checkout before 11:00 AM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 bath""]",TRUE,257,4.79,11,100,FALSE
29,Villa in Kecamatan Kediri ,null,Stays,TRUE,null,4.92,"Kecamatan Kediri, Bali, Indonesia","Kecamatan Kediri, Bali, Indonesia",-8.631,115.0999,2,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""2 guests maximum""]","[""2 guests"",""1 bedroom"",""1 bed"",""1 bath""]",TRUE,4769,4.83,10,100,FALSE
30,Villa in Kuta Utara ,null,Stays,TRUE,null,4.71,"Kuta Utara, Bali, Indonesia","Kuta Utara, Bali, Indonesia",-8.6673,115.1587,6,TRUE,"[""Check-in after 2:00 PM"",""Checkout before 11:00 AM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 baths""]",FALSE,213,4.74,6,96,FALSE
31,Villa in Seminyak ,null,Stays,TRUE,null,4.89,"Seminyak, Bali, Indonesia","Seminyak, Bali, Indonesia",-8.6824,115.1678,6,FALSE,"[""Check-in: 2:00 pm"",""Checkout before 12:00 pm"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3 bathrooms""]",TRUE,57,4.89,6,100,FALSE
32,Villa in Kecamatan Kuta ,null,Stays,TRUE,null,4.94,"Kecamatan Kuta, Bali, Indonesia","Kecamatan Kuta, Bali, Indonesia",-8.68454,115.16627,6,TRUE,"[""Check-in after 15:00"",""Checkout before 12:00"",""6 guests maximum""]","[""6 guests"",""2 bedrooms"",""5 beds"",""2.5 bathrooms""]",TRUE,21,4.95,2,100,TRUE
33,Townhouse in Kecamatan Mengwi ,null,Stays,TRUE,null,4.94,"Kecamatan Mengwi, Bali, Indonesia","Kecamatan Mengwi, Bali, Indonesia",-8.6406,115.1318,4,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""4 guests maximum""]","[""4 guests"",""2 bedrooms"",""2 beds"",""2.5 baths""]",TRUE,739,4.72,5,100,FALSE
34,Villa in Kecamatan Kuta Utara ,null,Stays,TRUE,null,4.93,"Kecamatan Kuta Utara, Bali, Indonesia","Kecamatan Kuta Utara, Bali, Indonesia",-8.6366,115.1549,6,FALSE,"[""Check-in after 3:00 PM"",""Checkout before 11:00 AM"",""6 guests maximum""]","[""6 guests"",""3 bedrooms"",""3 beds"",""3.5 baths""]",TRUE,4769,4.83,10,100,TRUE
35,Home in Kuta Utara ,null,Stays,TRUE,null,4.69,"Kuta Utara, Bali, Indonesia","Kuta Utara, Bali, Indonesia",-8.65667,115.1452,2,FALSE,"[""Check-in after 2:00 PM"",""Checkout before 12:00 PM"",""2 guests maximum""]","[""1 queen bed"",""Private attached bathroom""]",FALSE,340,4.61,6,100,FALSE
